rho,odd_error,scale_error,cross_additivity_error
0.02,0.00022612919565290213,1.413461723132059e-05,1.9890501789632253e-05
0.05,0.0014128958573564887,8.834127947920933e-05,0.00012431450886651874
0.1,0.0056457058526575565,0.00035338112502358854,0.0004972785827703774
0.2,0.02248901128768921,0.0014136785175651312,0.001989541342481971
0.4,0.08847155421972275,0.005656102672219276,0.00796548556536436
0.6,0.19362446665763855,0.012729448266327381,0.01794961653649807
0.8,0.3311644494533539,0.022634802386164665,0.03197500854730606

