condition,diagonal_fraction,seed,train_size,fit_transition_count,model,parameter_count,q_bin_coverage,observed_joint_action_count,best_epoch,validation_mse,positive_axis_nmse,negative_axis_nmse,positive_joint_nmse,negative_joint_nmse,mixed_joint_nmse,negative_axis_control_error,negative_axis_control_success,negative_axis_action_error,positive_joint_control_error,positive_joint_control_success,positive_joint_action_error,mixed_joint_control_error,mixed_joint_control_success,mixed_joint_action_error
axis_only,0.0,0,200,160,free,4868,0.4097222222222222,0,880,3.901451691490365e-06,0.0006896571139805019,0.0390772745013237,0.002549116499722004,0.05211609974503517,0.013472448103129864,0.018624151998665184,0.6458333333333334,0.021524363415664993,0.008918275404236434,0.9791666666666666,0.010454547275329525,0.009876572655533286,0.953125,0.010562396185549147
axis_only,0.0,0,200,160,first_order,5000,0.4097222222222222,0,899,2.2153358258947264e-06,0.0004544757248368114,0.0262883510440588,0.0013832136755809188,0.0320102833211422,0.009914047084748745,0.013482620641904456,0.8046875,0.0170724895967093,0.00794990232437461,1.0,0.009562609723173564,0.008802078763740914,1.0,0.009690536251540769
axis_only,0.0,0,200,160,corrected,5780,0.4097222222222222,0,899,1.2612511000043014e-06,0.00018344966520089656,0.0045991684310138226,0.0018724394030869007,0.007483971305191517,0.006507221609354019,0.007812268784012606,0.9583333333333334,0.008093904762063175,0.008290294928883668,1.0,0.009916686423971465,0.00853915317566134,0.9921875,0.009162310272605369
axis_only,0.0,0,500,400,free,4868,0.6875,0,899,3.578766836653813e-06,0.00042438978562131524,0.0264736395329237,0.0018782918341457844,0.03253353387117386,0.011471516452729702,0.011880948519925974,0.8411458333333334,0.014237178084537542,0.008459069639987623,1.0,0.00944672599305582,0.009401429126834651,0.9505208333333334,0.009989106699036288
axis_only,0.0,0,500,400,first_order,5000,0.6875,0,899,3.374839934622287e-06,0.00040056637953966856,0.025850810110569,0.0013494895538315177,0.03119310364127159,0.009885075502097607,0.013352537998192323,0.7864583333333334,0.017285307178099174,0.008054058215445062,1.0,0.009538147780945071,0.00895738184772199,0.9973958333333334,0.010088663839670631
axis_only,0.0,0,500,400,corrected,5780,0.6875,0,899,1.2417851849022554e-06,0.00012487184721976519,0.00307926326058805,0.0018226419342681766,0.006717719603329897,0.005226375535130501,0.005918989500059979,0.9869791666666666,0.005879587234327725,0.00811155856596694,1.0,0.009811815146112382,0.00822526582608892,1.0,0.008848077378381093
axis_only,0.0,0,1000,800,free,4868,0.8958333333333334,0,899,2.7007615699403686e-06,0.0003365720040164888,0.022763904184103012,0.0018764887936413288,0.03119061142206192,0.008445419371128082,0.01213161908708571,0.8255208333333334,0.01445494216507844,0.008416401673457585,1.0,0.009203108186534628,0.00898385059190332,0.9973958333333334,0.009476675802917995
axis_only,0.0,0,1000,800,first_order,5000,0.8958333333333334,0,899,3.33577213496028e-06,0.0003961516486015171,0.025948571041226387,0.0014403937384486198,0.03148213028907776,0.009945533238351345,0.013156648369961962,0.8125,0.016788833473886672,0.008032212698405298,1.0,0.009211672685568191,0.008690445679045903,1.0,0.009493917369092109
axis_only,0.0,0,1000,800,corrected,5780,0.8958333333333334,0,899,1.1630748986135586e-06,0.00012856996909249574,0.004383818246424198,0.001842675032094121,0.008562254719436169,0.005319261457771063,0.008279066566804735,0.9583333333333334,0.007624797093740199,0.008310552938686063,1.0,0.009616533366603812,0.008203726094507147,0.9947916666666666,0.008417747995272605
axis_only,0.0,0,2000,1600,free,4868,0.9861111111111112,0,840,3.1640781799069373e-06,0.0003948768717236817,0.026961088180541992,0.0017403953243047,0.03244945779442787,0.011159907095134258,0.010640758247366952,0.8411458333333334,0.01280305478576338,0.007742383153527044,1.0,0.009451001971177375,0.009636637680766095,0.9739583333333334,0.010777043833803545
axis_only,0.0,0,2000,1600,first_order,5000,0.9861111111111112,0,899,2.9556279059761437e-06,0.00038200890412554145,0.02583906799554825,0.0013285769382491708,0.03167300671339035,0.009577162563800812,0.012540114167374364,0.8229166666666666,0.016253956125486486,0.008048643064588154,1.0,0.009504971544298765,0.008745010331040248,1.0,0.009710322579179522
axis_only,0.0,0,2000,1600,corrected,5780,0.9861111111111112,0,899,8.608087682659971e-07,9.300706733483821e-05,0.002833555918186903,0.0020181082654744387,0.006227685604244471,0.005667412653565407,0.005226300798312877,0.9921875,0.004699881603301037,0.008012693654260753,1.0,0.010169126655604328,0.007734317018427343,1.0,0.008143631218019861
axis_only,0.0,1,200,160,free,4868,0.3958333333333333,0,860,5.535571290238295e-06,0.0006020473083481193,0.03237542882561684,0.002751994179561734,0.04201266169548035,0.014154905453324318,0.014644085493273451,0.7526041666666666,0.018083109311798278,0.0090566063663573,0.984375,0.010155371712693647,0.009778302965666322,0.953125,0.01098765301626687
axis_only,0.0,1,200,160,first_order,5000,0.3958333333333333,0,899,4.9918421609618235e-06,0.0005662522744387388,0.02604132518172264,0.0015250083524733782,0.03178783133625984,0.010017774067819118,0.01270067248333362,0.8229166666666666,0.016059618183741502,0.008186151295376476,1.0,0.009621903768607732,0.009262629124956826,0.9869791666666666,0.01037390527778607
