rho,odd_error,scale_error,additivity_error
0.02,0.00012180086196167395,3.0449575206148438e-05,7.612243734911317e-06
0.05,0.000761122559197247,0.00019031525880564004,4.757781061925925e-05
0.1,0.0030428795143961906,0.0007612973568029702,0.00019031525880564004
0.2,0.012145976535975933,0.003045740770176053,0.0007612973568029702
0.4,0.04817749932408333,0.012191209010779858,0.003045740770176053
0.6,0.10689181834459305,0.027456674724817276,0.006854909937828779
0.8,0.1863384246826172,0.04886077344417572,0.012191209010779858

